studyID,studyName,species,treatment,treatment.year,%BA-removed,treatment.notes,measurement.year,responseVariable,units,mean_treatment,n_treatment,sd_treatment,se_treatment,mean_control,n_control,sd_control,se_control,disturbance,disturbanceStart,disturbanceEnd,mortalityAgent,method,SiteName,latitude coordinate,longitude coordinate,comment,"Carbon-vs-Mortality (1=Carbon, 2=Mortality)",ImputedBAremoved? (1=yes),ImputedSD? (1=yes),MortalityAttributionUncertain (1=yes),PercentComposition,"GroupingFlags (same number = should be grouped later, recycle numbers between studies. If nothing should be grouped, write NA)",Nis2,NoTrueControl,thin_severity,Olson_Biome,cwd,map,vpd,mat
60,Steel et al. 2021,Pinus jeffreyi,unburned/overstory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.02,3,,,0.1775,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.44,4,0,0,,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
60,Steel et al. 2021,Pinus jeffreyi,burned/overstory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.0175,3,,,0.1775,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.44,5,0,0,,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
60,Steel et al. 2021,Pinus lambertiana,burned/no thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.335,3,,,0.285,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,8.57,1,0,0,,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
60,Steel et al. 2021,Pinus lambertiana,unburned/understory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.3725,3,,,0.285,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,8.57,2,0,0,,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
60,Steel et al. 2021,Pinus lambertiana,burned/understory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.1833333,3,,,0.285,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,8.57,3,0,0,,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
60,Steel et al. 2021,Pinus lambertiana,unburned/overstory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.145,3,,,0.285,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,8.57,4,0,0,,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
60,Steel et al. 2021,Pinus lambertiana,burned/overstory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.3975,3,,,0.285,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,8.57,5,0,0,,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
61,Fajvan and Gottschalk 2012,mixed oak stand (red & white),low thinning,1981,31,"% stock change, not real BA%",1987,Wood volume,cm3,78694.7,27,148876.0023,28651.2,79778.2,27,153864.8282,29611.3,insects,1981,1982,gypsy moth,Field experiment,Clinton County Pennsylvania,41.2325278,-77.6423307,Table 1,1,0,0,0,,NA,0,0,moderate,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
61,Fajvan and Gottschalk 2012,mixed oak stand (red & white),moderate thinning,1981,42,"% stock change, not real BA%",1987,Wood volume,cm3,85837.2,27,165535.3866,31857.3,79778.2,27,153864.8282,29611.3,insects,1981,1982,gypsy moth,Field experiment,Clinton County Pennsylvania,41.2325278,-77.6423307,Table 1,1,0,0,0,,NA,0,0,moderate,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
129,Morris et al. 2022,Pinus contorta,Low thinning + timber stand improvement,1938,50,,2018,Basal area fraction killed by beetles,fraction,0.8,4,0.2,0.1,0.83,4,0.14,0.07,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 2,2,0,0,0,0,NA,0,0,moderate,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
