studyID,studyName,species,treatment,treatment.year,%BA-removed,treatment.notes,measurement.year,responseVariable,units,mean_treatment,n_treatment,sd_treatment,se_treatment,mean_control,n_control,sd_control,se_control,disturbance,disturbanceStart,disturbanceEnd,mortalityAgent,method,SiteName,latitude coordinate,longitude coordinate,comment,"Carbon-vs-Mortality (1=Carbon, 2=Mortality)",ImputedBAremoved? (1=yes),ImputedSD? (1=yes),MortalityAttributionUncertain (1=yes),PercentComposition,"GroupingFlags (same number = should be grouped later, recycle numbers between studies. If nothing should be grouped, write NA)"
60,Steel et al. 2021,Pinus lambertiana,burned/no thin,2000,NA,,"2011, 2017",stand mortality,%,33.5,3,,,28.5,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,8.57,1
60,Steel et al. 2021,Pinus lambertiana,unburned/understory thin,2000,NA,,"2011, 2017",stand mortality,%,37.25,3,,,28.5,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,8.57,2
60,Steel et al. 2021,Pinus lambertiana,burned/understory thin,2000,NA,,"2011, 2017",stand mortality,%,18.33333,3,,,28.5,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,8.57,3
60,Steel et al. 2021,Pinus lambertiana,unburned/overstory thin,2000,NA,,"2011, 2017",stand mortality,%,14.5,3,,,28.5,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,8.57,4
60,Steel et al. 2021,Pinus lambertiana,burned/overstory thin,2000,NA,,"2011, 2017",stand mortality,%,39.75,3,,,28.5,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,8.57,5
129,Morris et al. 2022,Pinus contorta,Low thinning + timber stand improvement,1938,50,,2018,Basal area killed by beetles,m2/ha,80,4,20,10,83,4,14,7,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 2,2,0,0,0,0,NA
129,Morris et al. 2022,Pinus contorta,Moderate thinning + timber stand improvement,1938,67,,2018,Basal area killed by beetles,m2/ha,71,4,22,11,83,4,14,7,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 2,2,0,0,0,0,NA
129,Morris et al. 2022,Pinus contorta,"Moderate thinning, no timber stand improvement",1938,67,,2018,Basal area killed by beetles,m2/ha,81,4,20,10,83,4,14,7,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 2,2,0,0,0,0,NA
129,Morris et al. 2022,Pinus contorta,High thinning + timber stand improvement,1938,83,,2018,Basal area killed by beetles,m2/ha,63,4,18,9,83,4,14,7,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 2,2,0,0,0,0,NA
129,Morris et al. 2022,Pinus contorta,"High thinning, no timber stand improvement",1938,83,,2018,Basal area killed by beetles,m2/ha,82,4,16,8,83,4,14,7,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 2,2,0,0,0,0,NA
129,Morris et al. 2022,Pinus contorta,Low thinning + timber stand improvement,1938,50,,2018,Live basal area,m2/ha,23,4,10,5,10.5,4,6,3,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 4,1,0,0,0,0,NA
129,Morris et al. 2022,Pinus contorta,Moderate thinning + timber stand improvement,1938,67,,2018,Live basal area,m2/ha,28,4,16,8,10.5,4,6,3,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 4,1,0,0,0,0,NA
129,Morris et al. 2022,Pinus contorta,"Moderate thinning, no timber stand improvement",1938,67,,2018,Live basal area,m2/ha,15.5,4,12,6,10.5,4,6,3,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 4,1,0,0,0,0,NA
129,Morris et al. 2022,Pinus contorta,High thinning + timber stand improvement,1938,83,,2018,Live basal area,m2/ha,24,4,12,6,10.5,4,6,3,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 4,1,0,0,0,0,NA
129,Morris et al. 2022,Pinus contorta,"High thinning, no timber stand improvement",1938,83,,2018,Live basal area,m2/ha,17,4,11,5.5,10.5,4,6,3,insects,2003,2010,mountain pine beetle,Field experiment,"Fraser Experimental Forest, Colorado",39.883,-105.883,Figure 4,1,0,0,0,0,NA
