studyID,studyName,species,treatment,treatment.year,%BA-removed,treatment.notes,measurement.year,responseVariable,units,mean_treatment,n_treatment,sd_treatment,se_treatment,mean_control,n_control,sd_control,se_control,disturbance,disturbanceStart,disturbanceEnd,mortalityAgent,method,SiteName,latitude coordinate,longitude coordinate,comment,"Carbon-vs-Mortality (1=Carbon, 2=Mortality)",ImputedBAremoved? (1=yes),ImputedSD? (1=yes),MortalityAttributionUncertain (1=yes),PercentComposition,"GroupingFlags (same number = should be grouped later, recycle numbers between studies. If nothing should be grouped, write NA)"
306,Fettig et al 2021,ponderosa pine; lodgepole pine; western white pine,Seventy-five (75) UMZ Gap,"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 75,thinning and prescribed fire happened in different years for different blocks; regeneration cut,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,1.0215729,4,1.0617873,0.53089365,0.03908806,4,0.03955272,0.01977636,insects,unclear (maybe after prescribed fire),unclear,pine engraver,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,3
306,Fettig et al 2021,ponderosa pine; lodgepole pine; western white pine,One hundred (100) UMZ (high density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 100,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0.74320123,4,0.35488902,0.17744451,0.03908806,4,0.03955272,0.01977636,insects,unclear (maybe after prescribed fire),unclear,pine engraver,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,4
306,Fettig et al 2021,firs,Fifty (50) UMZ (low density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 50,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0,4,0,0,0.3,4,0.4,0.2,insects,unclear (maybe after prescribed fire),unclear,fir engraver,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,1
306,Fettig et al 2021,firs,Seventy-five (75) UMZ (medium density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 75,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0,4,0,0,0.3,4,0.4,0.2,insects,unclear (maybe after prescribed fire),unclear,fir engraver,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,2
306,Fettig et al 2021,firs,Seventy-five (75) UMZ Gap,"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 75,thinning and prescribed fire happened in different years for different blocks; regeneration cut,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,0,4,0,0,0.3,4,0.4,0.2,insects,unclear (maybe after prescribed fire),unclear,fir engraver,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,3
306,Fettig et al 2021,firs,One hundred (100) UMZ (high density stand),"thinning: 2011, 2012, 2013; prescribed fire 2 years after thinning",< 100,thinning and prescribed fire happened in different years for different blocks,"2014, 2015, 2016 (1 year after prescribed fire)",percentage of trees killed,% of trees,2.3,4,1.2,0.6,0.3,4,0.4,0.2,insects,unclear (maybe after prescribed fire),unclear,fir engraver,Field experiment,Lookout Mountain Unit of Pringle Falls Experimental Forest,43.7,-121.617,,2,0,0,0,,4
299,McNichol et al 2019,Loblolly pine (and a few shortleaf pines),burn-may,2017,NA,keeping flame hight below 1m whenever possible. 5 trees died with high scorch rating and no beetles,2017,mortality,% of trees,2.14054054,15,5.02441083,1.2972973,7.03783784,15,5.1500211,1.32972973,insects,before treatment,Nov 2017,"Ips species for the most part, but some trees died with low or now Ips infestation",Field experiment,Bishop F Grant Memorial Forest,33.42,-83.45,"Note: barkbeetles were present BEFORE fire treatment and died down at last census (ca 6 month after burn), mortality is not always definitely bark beetle caused!",2,1,0,0,,NA
299,McNichol et al 2019,Loblolly pine (and a few shortleaf pines),burn-july,2017,NA,keeping flame hight below 1m whenever possible. 5 trees died with high scorch rating and no beetles,2017,mortality,% of trees,2.4972973,15,5.02441083,1.2972973,9.43783784,15,5.02441083,1.2972973,insects,before treatment,Nov 2017,"Ips species for the most part, but some trees died with low or now Ips infestation",Field experiment,Bishop F Grant Memorial Forest,33.42,-83.45,"Note: barkbeetles were present BEFORE fire treatment and died down at last census (ca 6 month after burn), mortality is not always definitely bark beetle caused!",2,1,0,0,,NA
299,McNichol et al 2019,Loblolly pine (and a few shortleaf pines),burn-sept,2017,NA,keeping flame hight below 1m whenever possible. 5 trees died with high scorch rating and no beetles,2017,mortality,% of trees,2.4972973,15,5.02441083,1.2972973,10.2810811,15,5.1500211,1.32972973,insects,before treatment,Nov 2017,"Ips species for the most part, but some trees died with low or now Ips infestation",Field experiment,Bishop F Grant Memorial Forest,33.42,-83.45,"Note: barkbeetles were present BEFORE fire treatment and died down at last census (ca 6 month after burn), mortality is not always definitely bark beetle caused!",2,1,0,0,,NA
299,McNichol et al 2019,Loblolly pine (and a few shortleaf pines),burn-nov,2017,NA,keeping flame hight below 1m whenever possible. 5 trees died with high scorch rating and no beetles,2017,mortality,% of trees,5.48108108,15,5.27563137,1.36216216,10.9621622,15,5.02441083,1.2972973,insects,before treatment,Nov 2017,"Ips species for the most part, but some trees died with low or now Ips infestation",Field experiment,Bishop F Grant Memorial Forest,33.42,-83.45,"Note: barkbeetles were present BEFORE fire treatment and died down at last census (ca 6 month after burn), mortality is not always definitely bark beetle caused!",2,1,0,0,,NA
396,Muzika et al. 2004,"Liriodendron tulipifera L., Quercus alba L., Quercus rubra L., Tsuga canadensis (L.) Carr., Tilia americana L., Fraxinus americana L.",thinning,2000,28,"treatment year is not stated, using 2000 as fill-in so meas-year makes sense",2000,total basal area,m2/ha,31.1,8,NA,NA,30.1,8,NA,NA,insects,unclear (maybe after thinning),unclear,gypsy moth,Field experiment,West Virginia University Forest,39.7086,-79.9808,coordinates are estimated with site name,1,0,1,0,,NA
396,Muzika et al. 2004,"Liriodendron tulipifera L., Quercus alba L., Quercus rubra L., Tsuga canadensis (L.) Carr., Tilia americana L., Fraxinus americana L.",thinning,2000,28,"treatment year is not stated, using 2000 as fill-in so meas-year makes sense",2001,total basal area,m2/ha,22.3,8,NA,NA,30.4,8,NA,NA,insects,unclear (maybe after thinning),unclear,gypsy moth,Field experiment,West Virginia University Forest,39.7086,-79.9808,coordinates are estimated with site name,1,0,1,0,,NA
396,Muzika et al. 2004,"Liriodendron tulipifera L., Quercus alba L., Quercus rubra L., Tsuga canadensis (L.) Carr., Tilia americana L., Fraxinus americana L.",thinning,2000,28,"treatment year is not stated, using 2000 as fill-in so meas-year makes sense",2002,total basal area,m2/ha,21,8,NA,NA,27.1,8,NA,NA,insects,unclear (maybe after thinning),unclear,gypsy moth,Field experiment,West Virginia University Forest,39.7086,-79.9808,coordinates are estimated with site name,1,0,1,0,,NA
396,Muzika et al. 2004,"Liriodendron tulipifera L., Quercus alba L., Quercus rubra L., Tsuga canadensis (L.) Carr., Tilia americana L., Fraxinus americana L.",thinning,2000,28,"treatment year is not stated, using 2000 as fill-in so meas-year makes sense",2003,total basal area,m2/ha,20.7,8,NA,NA,25.6,8,NA,NA,insects,unclear (maybe after thinning),unclear,gypsy moth,Field experiment,West Virginia University Forest,39.7086,-79.9808,coordinates are estimated with site name,1,0,1,0,,NA
292,Six and Ksov 2009,Douglas-fir,Thin,2001,40,"34-45%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,0,3,NA,NA,0,3,NA,NA,insects,2001,2005,douglas Fir Beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,1
292,Six and Ksov 2009,Douglas-fir,Thin + Burn,2001&2002,62,"58-65%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,20,3,NA,NA,0,3,NA,NA,insects,2001,2005,douglas Fir Beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,2
292,Six and Ksov 2009,Douglas-fir,Burn,2002,8,"0-16%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,6,3,NA,NA,0,3,NA,NA,insects,2001,2005,douglas Fir Beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,3
292,Six and Ksov 2009,Ponderosa pine,Thin,2001,40,"34-45%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,0.12,3,NA,NA,1.16,3,NA,NA,insects,2001,2005,mountain pine beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,1
292,Six and Ksov 2009,Ponderosa pine,Thin + Burn,2001&2002,62,"58-65%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,0.34,3,NA,NA,1.16,3,NA,NA,insects,2001,2005,mountain pine beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,2
292,Six and Ksov 2009,Ponderosa pine,Burn,2002,8,"0-16%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,2.73,3,NA,NA,1.16,3,NA,NA,insects,2001,2005,mountain pine beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,3
292,Six and Ksov 2009,Ponderosa pine,Thin,2001,40,"34-45%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,0,3,NA,NA,0,3,NA,NA,insects,2001,2005,western pine beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,1
292,Six and Ksov 2009,Ponderosa pine,Thin + Burn,2001&2002,62,"58-65%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,0.67,3,NA,NA,0,3,NA,NA,insects,2001,2005,western pine beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,2
292,Six and Ksov 2009,Ponderosa pine,Burn,2002,8,"0-16%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,0.87,3,NA,NA,0,3,NA,NA,insects,2001,2005,western pine beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,3
292,Six and Ksov 2009,Ponderosa pine,Thin,2001,40,"34-45%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,0.02,3,NA,NA,1.5,3,NA,NA,insects,2001,2005,pine engraver,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,1
292,Six and Ksov 2009,Ponderosa pine,Thin + Burn,2001&2002,62,"58-65%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,1.04,3,NA,NA,1.5,3,NA,NA,insects,2001,2005,pine engraver,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,2
292,Six and Ksov 2009,Ponderosa pine,Burn,2002,8,"0-16%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,0.37,3,NA,NA,1.5,3,NA,NA,insects,2001,2005,pine engraver,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,3
292,Six and Ksov 2009,Lodgepole pine,Thin,2001,40,"34-45%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,0,3,NA,NA,0,3,NA,NA,insects,2001,2005,mountain pine beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,1
292,Six and Ksov 2009,Lodgepole pine,Thin + Burn,2001&2002,62,"58-65%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,0,3,NA,NA,0,3,NA,NA,insects,2001,2005,mountain pine beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,2
292,Six and Ksov 2009,Lodgepole pine,Burn,2002,8,"0-16%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,33.3,3,NA,NA,0,3,NA,NA,insects,2001,2005,mountain pine beetle,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,3
292,Six and Ksov 2009,Lodgepole pine,Thin,2001,40,"34-45%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,6.67,3,NA,NA,0,3,NA,NA,insects,2001,2005,pine engraver,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,1
292,Six and Ksov 2009,Lodgepole pine,Thin + Burn,2001&2002,62,"58-65%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,50,3,NA,NA,0,3,NA,NA,insects,2001,2005,pine engraver,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,2
292,Six and Ksov 2009,Lodgepole pine,Burn,2002,8,"0-16%, BA removed calculated from Table 1 BA before and 5 years after treatment",2004,mortality,% of trees,33.3,3,NA,NA,0,3,NA,NA,insects,2001,2005,pine engraver,Field Experiment,University of Montana Lubrecht Experimental Forest,47,-113,,2,0,1,0,,3
187,Stark et al 2013,Abies concolor (small),Rx fire,2002,3.2,,2005,Basal area mortality rate,%,0.62,20,0.6708203932,0.15,0.19,20,0.491934955,0.11,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1
187,Stark et al 2013,Abies concolor (medium),Rx fire,2002,3.2,,2005,Basal area mortality rate,%,0.19,20,0.491934955,0.11,0.07,20,0.1788854382,0.04,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1
187,Stark et al 2013,Abies concolor (large),Rx fire,2002,3.2,,2005,Basal area mortality rate,%,0.05,20,0.1341640786,0.03,0.11,20,0.4472135955,0.1,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1
187,Stark et al 2013,Abies concolor (small),thinning,2002,21.1,,2005,Basal area mortality rate,%,0.19,20,0.04472135955,0.01,0.19,20,0.491934955,0.11,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2
187,Stark et al 2013,Abies concolor (medium),thinning,2002,21.1,,2005,Basal area mortality rate,%,0,20,0,0,0.07,20,0.1788854382,0.04,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2
187,Stark et al 2013,Abies concolor (large),thinning,2002,21.1,,2005,Basal area mortality rate,%,0.03,20,0.1341640786,0.03,0.11,20,0.4472135955,0.1,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2
187,Stark et al 2013,Abies concolor (small),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,%,0.11,20,0.3577708764,0.08,0.19,20,0.491934955,0.11,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3
187,Stark et al 2013,Abies concolor (medium),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,%,0.16,20,0.7155417528,0.16,0.07,20,0.1788854382,0.04,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3
187,Stark et al 2013,Abies concolor (large),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,%,0.22,20,0.8049844719,0.18,0.11,20,0.4472135955,0.1,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3
187,Stark et al 2014,Pinus lambertiana (small),Rx fire,2002,3.2,,2005,Basal area mortality rate,%,1.44,20,3.354101966,0.75,1.08,20,4.829906831,1.08,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1
187,Stark et al 2015,Pinus lambertiana (medium),Rx fire,2002,3.2,,2005,Basal area mortality rate,%,5.94,20,15.38414769,3.44,0.12,20,0.5366563146,0.12,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1
187,Stark et al 2016,Pinus lambertiana (large),Rx fire,2002,3.2,,2005,Basal area mortality rate,%,0,20,0,0,0,20,0,0,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1
187,Stark et al 2017,Pinus lambertiana (small),thinning,2002,21.1,,2005,Basal area mortality rate,%,0,20,0,0,1.08,20,4.829906831,1.08,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2
187,Stark et al 2018,Pinus lambertiana (medium),thinning,2002,21.1,,2005,Basal area mortality rate,%,0,20,0,0,0.12,20,0.5366563146,0.12,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2
187,Stark et al 2019,Pinus lambertiana (large),thinning,2002,21.1,,2005,Basal area mortality rate,%,0,20,0,0,0,20,0,0,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2
187,Stark et al 2020,Pinus lambertiana (small),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,%,0.36,20,1.609968944,0.36,1.08,20,4.829906831,1.08,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3
187,Stark et al 2021,Pinus lambertiana (medium),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,%,0,20,0,0,0.12,20,0.5366563146,0.12,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3
187,Stark et al 2022,Pinus lambertiana (large),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,%,0.1,20,0.4472135955,0.1,0,20,0,0,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3
187,Stark et al 2023,Pinus ponderosa (small),Rx fire,2002,3.2,,2005,Basal area mortality rate,%,0.2,20,0.894427191,0.2,0,20,0,0,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1
187,Stark et al 2024,Pinus ponderosa (medium),Rx fire,2002,3.2,,2005,Basal area mortality rate,%,0.25,20,1.118033989,0.25,0,20,0,0,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1
187,Stark et al 2025,Pinus ponderosa (large),Rx fire,2002,3.2,,2005,Basal area mortality rate,%,0.06,20,0.2683281573,0.06,0.03,20,0.1341640786,0.03,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,1
187,Stark et al 2026,Pinus ponderosa (small),thinning,2002,21.1,,2005,Basal area mortality rate,%,0,20,0,0,0,20,0,0,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2
187,Stark et al 2027,Pinus ponderosa (medium),thinning,2002,21.1,,2005,Basal area mortality rate,%,0,20,0,0,0,20,0,0,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2
187,Stark et al 2028,Pinus ponderosa (large),thinning,2002,21.1,,2005,Basal area mortality rate,%,0,20,0,0,0.03,20,0.1341640786,0.03,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,2
187,Stark et al 2029,Pinus ponderosa (small),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,%,0,20,0,0,0,20,0,0,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3
187,Stark et al 2030,Pinus ponderosa (medium),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,%,0,20,0,0,0,20,0,0,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3
187,Stark et al 2031,Pinus ponderosa (large),thinning + Rx fire,2002,28.6,,2005,Basal area mortality rate,%,0.04,20,0.1788854382,0.04,0.03,20,0.1341640786,0.03,insects,2002,2005,"western pine beetle, mountain pine beetle, fir engraver",Field experiment,"Blodgett Forest Research Station, Georgetown, CA",38.91,-120.66,,2,0,0,0,,3
211,Temperli et al 2014,Spruce,Thinning,1992-1998,NA,,2013,basal area,m2/ha,28.9,5,7.826237921,3.5,38.2,5,4.472135955,2,insects,2003,2013,spruce beetle,Field experiment,Dunton,37.8,-108.1,,2,0,0,0,,1
211,Temperli et al 2015,Spruce,Thinning,1992-1999,NA,,2013,basal area,m2/ha,18.6,5,11.85116028,5.3,51,5,25.04396135,11.2,insects,2003,2013,spruce beetle,Field experiment,Stoner Mesa,37.75,-108.15,,2,0,0,0,,1
211,Temperli et al 2016,Spruce,Thinning,1992-2000,NA,,2013,basal area,m2/ha,19.6,5,6.708203932,3,31.4,5,12.07476708,5.4,insects,2003,2013,spruce beetle,Field experiment,Hermosa,37.65,-107.9,,2,0,0,0,,1
211,Temperli et al 2017,Spruce,Thinning,1992-2001,NA,,2013,basal area,m2/ha,20.6,5,10.0623059,4.5,31,5,17.21772343,7.7,insects,2003,2013,spruce beetle,Field experiment,Tuckerville,37.5,-107.5,,2,0,0,0,,1
